iter	Passed	Remaining
407	4871	7068
408	4882	7055
409	4896	7045
410	4907	7033
411	4923	7027
412	4938	7019
413	4953	7011
414	4964	6998
415	4975	6985
416	4985	6969
417	4994	6954
418	5008	6945
419	5017	6929
420	5030	6918
421	5044	6909
422	5055	6895
423	5065	6881
424	5074	6865
425	5088	6855
426	5096	6838
427	5105	6823
428	5116	6809
429	5129	6799
430	5140	6785
431	5149	6770
432	5160	6758
433	5169	6742
434	5182	6731
435	5193	6718
436	5205	6705
437	5215	6692
438	5229	6682
439	5238	6667
440	5252	6657
441	5261	6641
442	5271	6627
443	5282	6614
444	5292	6600
445	5303	6587
446	5311	6570
447	5322	6558
448	5333	6544
449	5343	6531
450	5357	6521
451	5368	6508
452	5379	6495
453	5390	6483
454	5400	6468
455	5411	6455
456	5422	6443
457	5430	6426
458	5442	6414
459	5452	6401
460	5464	6389
461	5476	6377
462	5487	6364
463	5501	6354
464	5511	6341
465	5523	6329
466	5535	6317
467	5545	6304
468	5556	6291
469	5569	6280
470	5580	6267
471	5590	6253
472	5601	6240
473	5613	6229
474	5624	6217
475	5635	6203
476	5645	6190
477	5655	6176
478	5667	6164
479	5676	6149
480	5686	6135
481	5695	6120
482	5705	6107
483	5717	6095
484	5729	6084
485	5740	6071
486	5751	6058
487	5761	6044
488	5772	6032
489	5782	6018
490	5792	6004
491	5803	5992
492	5814	5979
493	5822	5963
494	5833	5951
495	5842	5937
496	5851	5921
497	5862	5909
498	5876	5900
499	5887	5887
500	5898	5875
501	5912	5865
502	5923	5852
503	5935	5840
504	5946	5828
505	5957	5816
506	5967	5802
507	5979	5791
508	5990	5778
509	5998	5762
510	6009	5750
511	6022	5740
512	6034	5728
513	6044	5715
514	6055	5702
515	6064	5688
516	6076	5676
517	6086	5663
518	6099	5652
519	6108	5638
520	6120	5627
521	6132	5615
522	6141	5601
523	6153	5589
524	6166	5579
525	6178	5567
526	6191	5557
527	6201	5544
528	6212	5530
529	6222	5518
530	6231	5504
531	6243	5492
532	6253	5479
533	6263	5465
534	6274	5453
535	6284	5440
536	6294	5427
537	6305	5415
538	6316	5402
539	6327	5389
540	6338	5378
541	6349	5365
542	6358	5351
543	6369	5338
544	6379	5325
545	6389	5312
546	6399	5299
547	6410	5287
548	6420	5274
549	6431	5261
550	6441	5249
551	6449	5234
552	6459	5221
553	6469	5207
554	6481	5197
555	6494	5186
556	6504	5173
557	6515	5160
558	6527	5149
559	6536	5135
560	6546	5123
561	6559	5111
562	6570	5099
563	6579	5086
564	6591	5075
565	6601	5061
566	6610	5047
567	6618	5034
568	6629	5021
569	6641	5010
570	6651	4997
571	6662	4985
572	6674	4973
573	6685	4961
574	6696	4949
575	6708	4937
576	6721	4927
577	6730	4913
578	6741	4901
579	6750	4888
580	6762	4876
581	6773	4864
582	6783	4851
583	6792	4838
584	6803	4826
585	6812	4813
586	6823	4801
587	6835	4789
588	6845	4776
589	6855	4764
590	6866	4752
591	6877	4739
592	6891	4730
593	6903	4718
594	6917	4708
595	6930	4698
596	6942	4686
597	6955	4675
598	6964	4662
599	6975	4650
600	6985	4637
601	6996	4625
602	7007	4613
603	7016	4600
604	7027	4588
605	7039	4576
606	7050	4564
607	7060	4552
608	7071	4540
609	7083	4529
610	7095	4517
611	7107	4506
612	7120	4495
613	7132	4484
614	7143	4471
615	7152	4458
616	7162	4445
617	7172	4433
618	7182	4420
619	7191	4407
620	7200	4394
621	7212	4383
622	7221	4369
623	7230	4356
624	7243	4346
625	7252	4333
626	7261	4319
627	7271	4307
628	7281	4295
629	7292	4282
630	7303	4271
631	7316	4259
632	7326	4248
633	7338	4236
634	7347	4223
635	7358	4211
636	7369	4199
637	7378	4186
638	7389	4174
639	7400	4162
640	7412	4151
641	7422	4139
642	7433	4127
643	7446	4116
644	7459	4105
645	7469	4093
646	7479	4080
647	7489	4068
648	7502	4057
649	7514	4046
650	7523	4033
651	7536	4022
652	7545	4009
653	7554	3996
654	7564	3984
655	7573	3971
656	7583	3959
657	7595	3947
658	7606	3936
659	7616	3923
660	7627	3911
661	7639	3900
662	7648	3887
663	7655	3874
664	7666	3861
665	7676	3849
666	7686	3837
667	7698	3826
668	7714	3817
669	7725	3805
670	7734	3792
671	7745	3780
672	7757	3769
673	7769	3757
674	7779	3745
675	7790	3733
676	7799	3721
677	7809	3708
678	7820	3696
679	7831	3685
680	7843	3674
681	7855	3662
682	7865	3650
683	7876	3638
684	7887	3626
685	7900	3616
686	7910	3604
687	7920	3592
688	7931	3580
689	7942	3568
690	7953	3556
691	7962	3543
692	7974	3532
693	7982	3519
694	7992	3507
695	8003	3495
696	8014	3484
697	8022	3471
698	8030	3457
699	8041	3446
700	8050	3433
701	8060	3421
702	8070	3409
703	8082	3398
704	8095	3387
705	8105	3375
706	8115	3363
707	8126	3351
708	8136	3339
709	8149	3328
710	8161	3317
711	8174	3306
712	8185	3294
713	8194	3282
714	8205	3270
715	8217	3259
716	8229	3248
717	8244	3238
718	8257	3227
719	8270	3216
720	8280	3204
721	8292	3193
722	8303	3181
723	8315	3170
724	8326	3158
725	8337	3146
726	8346	3134
727	8359	3123
728	8372	3112
729	8383	3100
730	8394	3089
731	8408	3078
732	8418	3066
733	8432	3055
734	8443	3044
735	8453	3032
736	8464	3020
737	8476	3009
738	8486	2997
739	8498	2985
740	8508	2974
741	8517	2961
742	8528	2949
743	8538	2938
744	8549	2926
745	8562	2915
746	8573	2903
747	8583	2891
748	8594	2880
749	8604	2868
750	8615	2856
751	8629	2845
752	8639	2833
753	8650	2822
754	8660	2810
755	8669	2798
756	8680	2786
757	8695	2776
758	8706	2764
759	8719	2753
760	8731	2742
761	8742	2730
762	8753	2718
763	8766	2707
764	8776	2696
765	8786	2683
766	8796	2672
767	8807	2660
768	8817	2648
769	8825	2636
770	8836	2624
771	8848	2613
772	8859	2601
773	8870	2590
774	8883	2578
775	8895	2567
776	8905	2555
777	8914	2543
778	8926	2532
779	8934	2519
780	8947	2508
781	8959	2497
782	8968	2485
783	8981	2474
784	8991	2462
785	9002	2451
786	9012	2439
787	9021	2426
788	9033	2415
789	9045	2404
790	9057	2393
791	9067	2381
792	9076	2369
793	9085	2357
794	9095	2345
795	9107	2333
796	9116	2322
797	9127	2310
798	9136	2298
799	9146	2286
800	9154	2274
801	9164	2262
802	9178	2251
803	9188	2239
804	9199	2228
805	9212	2217
806	9224	2206
807	9233	2194
808	9243	2182
809	9254	2170
810	9264	2159
811	9274	2147
812	9283	2135
813	9293	2123
814	9303	2111
815	9312	2099
816	9320	2087
817	9330	2075
818	9338	2063
819	9350	2052
820	9359	2040
821	9369	2028
822	9381	2017
823	9391	2005
824	9404	1994
825	9414	1983
826	9426	1971
827	9438	1960
828	9447	1948
829	9457	1937
830	9468	1925
831	9476	1913
832	9486	1901
833	9496	1890
834	9508	1878
835	9520	1867
836	9530	1856
837	9542	1844
838	9553	1833
839	9563	1821
