iter	Passed	Remaining
0	149	149408
1	162	81115
2	175	58464
3	189	47217
4	203	40409
5	215	35644
6	228	32394
7	240	29847
8	252	27770
9	263	26097
10	277	24940
11	290	23949
12	305	23186
13	319	22520
14	336	22071
15	348	21416
16	359	20779
17	372	20303
18	385	19908
19	403	19771
20	419	19543
21	434	19306
22	451	19182
23	470	19118
24	488	19062
25	507	19024
26	520	18746
27	534	18551
28	555	18608
29	572	18505
30	587	18350
31	600	18153
32	615	18032
33	628	17842
34	639	17638
35	653	17493
36	668	17410
37	683	17307
38	696	17172
39	709	17022
40	722	16899
41	734	16747
42	746	16620
43	759	16491
44	773	16405
45	785	16292
46	798	16185
47	813	16141
48	828	16081
49	843	16027
50	856	15939
51	871	15881
52	884	15796
53	896	15703
54	909	15631
55	922	15558
56	938	15519
57	953	15487
58	966	15421
59	982	15386
60	1000	15397
61	1012	15323
62	1028	15296
63	1042	15252
64	1054	15171
65	1072	15176
66	1084	15097
67	1097	15038
68	1110	14990
69	1129	15002
70	1145	14992
71	1157	14924
72	1170	14869
73	1183	14804
74	1195	14750
75	1206	14672
76	1220	14628
77	1232	14568
78	1246	14532
79	1260	14491
80	1272	14438
81	1288	14425
82	1299	14353
83	1310	14287
84	1320	14218
85	1331	14152
86	1345	14117
87	1359	14089
88	1373	14057
89	1385	14012
90	1399	13980
91	1414	13960
92	1429	13941
93	1441	13898
94	1454	13860
95	1470	13849
96	1483	13810
97	1495	13762
98	1510	13742
99	1520	13688
100	1533	13651
101	1548	13634
102	1562	13604
103	1575	13569
104	1587	13532
105	1598	13478
106	1609	13434
107	1619	13372
108	1632	13347
109	1644	13307
110	1658	13286
111	1671	13251
112	1685	13232
113	1701	13224
114	1713	13184
115	1729	13177
116	1740	13135
117	1752	13102
118	1768	13089
119	1781	13067
120	1795	13046
121	1808	13016
122	1823	13000
123	1838	12989
124	1856	12993
125	1870	12976
126	1888	12981
127	1905	12980
128	1919	12957
129	1929	12912
130	1946	12914
131	1962	12905
132	1979	12906
133	1992	12877
134	2007	12865
135	2019	12831
136	2032	12805
137	2045	12779
138	2059	12757
139	2074	12744
140	2087	12718
141	2104	12713
142	2116	12682
143	2130	12665
144	2146	12658
145	2158	12627
146	2173	12612
147	2182	12561
148	2197	12549
149	2210	12523
150	2223	12504
151	2235	12473
152	2249	12452
153	2261	12425
154	2277	12418
155	2289	12387
156	2301	12355
157	2316	12343
158	2330	12324
159	2344	12308
160	2360	12300
161	2376	12291
162	2391	12278
163	2403	12250
164	2415	12223
165	2426	12191
166	2438	12163
167	2452	12145
168	2463	12113
169	2478	12099
170	2493	12090
171	2507	12071
172	2521	12053
173	2535	12035
174	2548	12014
175	2562	11996
176	2576	11980
177	2589	11956
178	2599	11923
179	2613	11904
180	2626	11886
181	2644	11884
182	2659	11874
183	2678	11876
184	2689	11850
185	2705	11840
186	2722	11834
187	2736	11818
188	2756	11830
189	2771	11815
190	2786	11801
191	2802	11792
192	2816	11777
193	2829	11755
194	2841	11730
195	2851	11698
196	2866	11685
197	2880	11667
198	2892	11643
199	2906	11625
200	2918	11601
201	2930	11578
202	2944	11560
203	2956	11536
204	2967	11510
205	2983	11497
206	2996	11479
207	3011	11465
208	3027	11456
209	3039	11435
210	3050	11408
211	3067	11401
212	3078	11376
213	3092	11358
214	3111	11359
215	3124	11340
216	3137	11321
217	3153	11312
218	3166	11292
219	3186	11296
220	3203	11292
221	3218	11279
222	3238	11283
223	3254	11273
224	3269	11260
225	3283	11246
226	3298	11231
227	3313	11218
228	3329	11210
229	3344	11197
230	3356	11174
231	3368	11150
232	3379	11123
233	3392	11105
234	3404	11084
235	3418	11065
236	3433	11054
237	3443	11023
238	3455	11001
239	3471	10993
240	3483	10970
241	3494	10946
242	3510	10934
243	3521	10912
244	3535	10895
245	3550	10882
246	3565	10870
247	3580	10858
248	3596	10846
249	3607	10821
250	3620	10805
251	3634	10788
252	3646	10767
253	3660	10751
254	3677	10744
255	3692	10732
256	3709	10724
257	3720	10698
258	3732	10678
259	3748	10668
260	3759	10645
261	3776	10638
262	3795	10635
263	3808	10618
264	3823	10604
265	3834	10580
266	3848	10564
267	3861	10548
268	3879	10542
269	3891	10522
270	3910	10518
271	3921	10495
272	3933	10474
273	3947	10458
274	3963	10450
275	3976	10431
276	3989	10413
277	4003	10398
278	4016	10378
279	4032	10368
280	4044	10347
281	4056	10327
282	4070	10313
283	4082	10292
284	4093	10270
285	4105	10248
286	4114	10222
287	4126	10202
288	4138	10182
289	4154	10171
290	4166	10152
291	4177	10129
292	4190	10111
293	4204	10095
294	4215	10075
295	4229	10058
296	4244	10047
297	4257	10030
298	4272	10016
299	4283	9995
300	4297	9979
301	4308	9957
302	4322	9943
303	4334	9924
304	4347	9906
305	4358	9885
306	4370	9865
307	4382	9847
308	4395	9829
309	4408	9812
310	4422	9798
311	4434	9778
312	4447	9762
313	4459	9743
314	4470	9720
315	4482	9703
316	4497	9690
317	4511	9675
318	4524	9659
319	4536	9640
320	4548	9620
321	4565	9612
322	4578	9595
323	4589	9575
324	4597	9549
325	4612	9536
326	4624	9516
327	4638	9503
328	4651	9486
329	4665	9472
330	4683	9466
331	4697	9452
332	4714	9444
333	4728	9428
334	4742	9413
335	4759	9405
336	4771	9388
337	4786	9373
338	4802	9364
339	4818	9354
340	4835	9345
341	4848	9328
342	4858	9306
343	4873	9293
344	4886	9276
345	4898	9259
346	4914	9248
347	4925	9228
348	4940	9215
349	4957	9206
350	4967	9185
351	4984	9175
352	4994	9153
353	5006	9135
354	5020	9121
355	5033	9105
356	5049	9095
357	5061	9076
358	5074	9061
359	5086	9042
360	5100	9027
361	5110	9006
362	5121	8987
363	5135	8973
364	5149	8958
365	5158	8935
366	5169	8917
367	5182	8900
368	5195	8883
369	5205	8863
370	5216	8844
371	5226	8822
372	5237	8804
373	5255	8796
374	5270	8784
375	5285	8771
376	5298	8755
377	5311	8740
378	5329	8731
379	5343	8717
380	5358	8705
381	5371	8689
382	5384	8673
383	5399	8662
384	5413	8648
385	5425	8630
386	5436	8611
387	5454	8603
388	5466	8586
389	5479	8570
390	5492	8555
391	5506	8541
392	5516	8520
393	5528	8503
394	5539	8483
395	5551	8466
396	5563	8451
397	5576	8435
398	5587	8416
399	5601	8402
400	5611	8382
401	5625	8368
402	5639	8354
403	5651	8337
404	5665	8323
405	5680	8310
406	5693	8295
407	5705	8278
408	5723	8269
409	5734	8251
410	5747	8237
411	5760	8221
412	5774	8207
413	5786	8190
414	5797	8172
415	5809	8155
416	5824	8142
417	5838	8128
418	5850	8112
419	5865	8099
420	5882	8089
421	5894	8073
422	5907	8058
423	5917	8039
424	5932	8025
425	5947	8013
426	5962	8001
427	5973	7983
428	5988	7970
429	6002	7956
430	6016	7942
431	6028	7926
432	6040	7909
433	6049	7889
434	6060	7871
435	6073	7856
436	6089	7845
437	6104	7833
438	6116	7816
439	6130	7803
440	6142	7786
441	6156	7772
442	6167	7755
443	6180	7739
444	6192	7722
445	6206	7709
446	6220	7695
447	6231	7677
448	6244	7662
449	6256	7647
450	6269	7631
451	6279	7613
452	6294	7600
453	6306	7585
454	6321	7572
455	6334	7556
456	6348	7543
457	6360	7527
458	6375	7514
459	6387	7497
460	6399	7482
461	6411	7465
462	6422	7448
463	6434	7433
464	6445	7415
465	6459	7402
466	6472	7386
467	6485	7371
468	6493	7351
469	6503	7333
470	6516	7318
471	6530	7304
472	6543	7291
473	6555	7274
474	6567	7258
475	6581	7245
476	6593	7229
477	6608	7216
478	6625	7206
479	6639	7193
480	6655	7181
481	6668	7166
482	6680	7151
483	6695	7138
484	6707	7122
485	6722	7110
486	6737	7097
487	6755	7087
488	6767	7071
489	6779	7056
490	6794	7043
491	6809	7031
492	6822	7016
493	6840	7006
494	6854	6992
495	6866	6976
496	6878	6961
497	6895	6950
498	6907	6935
499	6920	6920
500	6930	6903
501	6946	6890
502	6964	6881
503	6978	6868
504	6992	6853
505	7005	6839
506	7020	6826
507	7031	6810
508	7045	6796
509	7059	6782
510	7075	6770
511	7091	6759
512	7104	6744
513	7116	6729
514	7129	6714
515	7145	6702
516	7161	6690
517	7173	6675
518	7186	6660
519	7199	6646
520	7212	6630
521	7222	6614
522	7239	6602
523	7254	6589
524	7265	6573
525	7280	6560
526	7293	6546
527	7313	6537
528	7323	6520
529	7337	6506
530	7347	6489
531	7364	6478
532	7380	6466
533	7396	6454
534	7409	6440
535	7423	6426
536	7438	6413
537	7451	6399
538	7464	6384
539	7478	6370
540	7490	6355
541	7507	6344
542	7521	6330
543	7535	6316
544	7549	6302
545	7563	6288
546	7575	6273
547	7590	6261
548	7605	6247
549	7616	6231
550	7627	6215
551	7639	6199
552	7652	6186
553	7667	6172
554	7680	6158
555	7693	6144
556	7706	6128
557	7719	6114
558	7733	6101
559	7745	6085
560	7758	6071
561	7769	6055
562	7784	6042
563	7797	6028
564	7811	6014
565	7829	6003
566	7846	5992
567	7857	5975
568	7871	5962
569	7883	5947
570	7894	5931
571	7907	5916
572	7922	5903
573	7934	5888
574	7947	5874
575	7959	5859
576	7970	5843
577	7983	5828
578	7997	5815
579	8016	5804
580	8029	5790
581	8042	5776
582	8053	5760
583	8066	5746
584	8079	5731
585	8092	5716
586	8103	5701
587	8115	5686
588	8129	5672
589	8140	5656
590	8155	5644
591	8173	5633
592	8187	5619
593	8199	5604
594	8213	5590
595	8229	5578
596	8239	5561
597	8251	5547
598	8263	5532
599	8277	5518
600	8291	5504
601	8303	5489
602	8316	5475
603	8331	5462
604	8359	5457
605	8378	5447
606	8392	5433
607	8404	5418
608	8414	5402
609	8427	5388
610	8443	5375
611	8456	5361
612	8474	5350
613	8488	5336
614	8500	5321
615	8516	5308
616	8526	5292
617	8539	5278
618	8552	5264
619	8567	5250
620	8584	5239
621	8601	5227
622	8617	5214
623	8631	5201
624	8644	5186
625	8663	5175
626	8677	5161
627	8694	5150
628	8708	5136
629	8722	5122
630	8733	5107
631	8745	5092
632	8755	5076
633	8766	5060
634	8777	5045
635	8791	5031
636	8807	5018
637	8818	5003
638	8832	4989
639	8845	4975
640	8859	4961
641	8870	4946
642	8882	4931
643	8896	4918
644	8910	4904
645	8922	4889
646	8934	4874
647	8947	4860
648	8961	4846
649	8974	4832
650	8989	4819
651	9001	4804
652	9018	4792
653	9031	4778
654	9043	4763
655	9055	4748
656	9069	4734
657	9082	4720
658	9100	4708
659	9115	4695
660	9130	4682
661	9143	4668
662	9157	4654
663	9172	4641
664	9185	4627
665	9198	4613
666	9211	4598
667	9225	4585
668	9237	4570
669	9252	4557
670	9265	4543
671	9283	4531
672	9297	4517
673	9307	4502
674	9323	4488
675	9337	4475
676	9350	4460
677	9364	4447
678	9374	4431
679	9393	4420
680	9404	4405
681	9416	4390
682	9430	4377
683	9446	4363
684	9457	4348
685	9469	4334
686	9481	4319
687	9491	4304
688	9503	4289
689	9516	4275
690	9534	4263
691	9546	4248
692	9558	4234
693	9572	4220
694	9584	4206
695	9600	4193
696	9614	4179
697	9629	4166
698	9644	4153
699	9658	4139
700	9670	4124
701	9682	4110
702	9700	4098
703	9718	4086
704	9731	4071
705	9741	4056
706	9754	4042
707	9765	4027
708	9778	4013
709	9789	3998
710	9800	3983
711	9813	3969
712	9826	3955
713	9840	3941
714	9852	3927
715	9865	3913
716	9879	3899
717	9892	3885
718	9906	3871
719	9917	3856
720	9930	3842
721	9947	3830
722	9960	3816
723	9976	3803
724	9989	3789
725	10007	3776
726	10021	3763
727	10035	3749
728	10050	3736
729	10062	3721
730	10074	3707
731	10084	3692
732	10095	3677
733	10109	3663
734	10126	3651
735	10139	3636
736	10151	3622
737	10165	3609
738	10178	3594
739	10191	3580
740	10202	3566
741	10219	3553
742	10232	3539
743	10244	3524
744	10255	3510
745	10269	3496
746	10284	3483
747	10300	3470
748	10319	3458
749	10335	3445
750	10350	3431
751	10365	3418
752	10378	3404
753	10392	3390
754	10406	3376
755	10418	3362
756	10431	3348
757	10446	3335
758	10460	3321
759	10472	3306
760	10484	3292
761	10497	3278
762	10511	3265
763	10526	3251
764	10536	3236
765	10548	3222
766	10558	3207
767	10572	3193
768	10584	3179
769	10596	3165
770	10606	3150
771	10620	3136
772	10634	3122
773	10651	3110
774	10661	3095
775	10676	3081
776	10688	3067
777	10702	3054
778	10714	3039
779	10730	3026
780	10745	3013
781	10757	2998
782	10767	2984
783	10778	2969
784	10790	2955
785	10803	2941
786	10816	2927
787	10829	2913
788	10842	2899
789	10856	2885
790	10868	2871
791	10880	2857
792	10892	2843
793	10904	2829
794	10915	2814
795	10931	2801
796	10947	2788
797	10959	2774
798	10971	2760
799	10988	2747
800	11001	2733
801	11014	2719
802	11027	2705
803	11039	2691
804	11054	2677
805	11066	2663
806	11080	2650
807	11093	2635
808	11105	2621
809	11118	2607
810	11130	2593
811	11140	2579
812	11151	2564
813	11162	2550
814	11178	2537
815	11195	2524
816	11210	2511
817	11223	2497
818	11239	2483
819	11254	2470
820	11266	2456
821	11286	2443
822	11302	2430
823	11319	2417
824	11331	2403
825	11347	2390
826	11366	2377
827	11379	2363
828	11395	2350
829	11413	2337
830	11430	2324
831	11441	2310
832	11456	2296
833	11472	2283
834	11488	2270
835	11505	2257
836	11517	2243
837	11533	2229
838	11549	2216
839	11563	2202
840	11573	2188
841	11584	2173
842	11595	2159
843	11607	2145
844	11621	2131
845	11635	2118
846	11648	2104
847	11661	2090
848	11673	2076
849	11684	2061
850	11697	2048
851	11711	2034
852	11726	2020
853	11737	2006
854	11755	1993
855	11771	1980
856	11786	1966
857	11800	1952
858	11813	1939
859	11828	1925
860	11839	1911
861	11853	1897
862	11868	1884
863	11883	1870
864	11897	1856
865	11910	1842
866	11924	1829
867	11939	1815
868	11956	1802
869	11969	1788
870	11981	1774
871	11997	1761
872	12009	1747
873	12024	1733
874	12035	1719
875	12048	1705
876	12061	1691
877	12073	1677
878	12086	1663
879	12099	1649
880	12114	1636
881	12129	1622
882	12142	1608
883	12154	1594
884	12167	1581
885	12181	1567
886	12194	1553
887	12205	1539
888	12221	1525
889	12234	1512
890	12249	1498
891	12260	1484
892	12273	1470
893	12287	1456
894	12298	1442
895	12314	1429
896	12325	1415
897	12339	1401
898	12352	1387
899	12364	1373
900	12376	1359
901	12389	1346
902	12402	1332
903	12417	1318
904	12428	1304
905	12438	1290
906	12451	1276
907	12461	1262
908	12475	1248
909	12485	1234
910	12500	1221
911	12514	1207
912	12527	1193
913	12542	1180
914	12553	1166
915	12566	1152
916	12575	1138
917	12586	1124
918	12602	1110
919	12612	1096
920	12632	1083
921	12649	1070
922	12662	1056
923	12674	1042
924	12687	1028
925	12698	1014
926	12710	1000
927	12730	987
928	12745	974
929	12761	960
930	12773	946
931	12787	932
932	12799	919
933	12815	905
934	12831	892
935	12849	878
936	12864	864
937	12880	851
938	12891	837
939	12907	823
940	12918	809
941	12928	796
942	12942	782
943	12956	768
944	12969	754
945	12981	740
946	12992	727
947	13002	713
948	13014	699
949	13022	685
950	13034	671
951	13044	657
952	13055	643
953	13066	630
954	13075	616
955	13083	602
956	13094	588
957	13101	574
958	13109	560
959	13117	546
960	13125	532
961	13133	518
962	13140	504
963	13149	491
964	13156	477
965	13165	463
966	13173	449
967	13179	435
968	13185	421
969	13191	407
970	13196	394
971	13201	380
972	13206	366
973	13212	352
974	13217	338
975	13222	325
976	13227	311
977	13232	297
978	13237	283
979	13242	270
980	13246	256
981	13252	242
982	13258	229
983	13263	215
984	13268	202
985	13272	188
986	13277	174
987	13282	161
988	13287	147
989	13292	134
990	13298	120
991	13302	107
992	13307	93
993	13311	80
994	13316	66
995	13321	53
996	13326	40
997	13331	26
998	13336	13
999	13340	0
13
999	13506	0
