iter	RMSE
0	41311.448
1	38813.18387
2	36418.40854
3	34251.85181
4	32144.75544
5	30129.13817
6	28366.40839
7	26656.07457
8	25039.83735
9	23474.96788
10	22022.71514
11	20732.78301
12	19568.02278
13	18395.99573
14	17323.19539
15	16298.29917
16	15332.55222
17	14431.84184
18	13614.20127
19	12858.44062
20	12152.15258
21	11454.63621
22	10830.85484
23	10256.90638
24	9685.931623
25	9172.29403
26	8681.917012
27	8206.771505
28	7791.205679
29	7383.922661
30	7002.196263
31	6653.134841
32	6331.084995
33	6035.143708
34	5757.050543
35	5488.942032
36	5249.280435
37	5041.068869
38	4834.878903
39	4640.276235
40	4461.210556
41	4299.980156
42	4150.609531
43	4014.516272
44	3880.020128
45	3761.118838
46	3651.748987
47	3549.821935
48	3443.22957
49	3357.684638
50	3272.782708
51	3200.850221
52	3131.320419
53	3071.193773
54	3009.661466
55	2959.608016
56	2903.295176
57	2845.779201
58	2801.728973
59	2760.98528
60	2721.009596
61	2688.140311
62	2658.722453
63	2606.822499
64	2577.513656
65	2549.263058
66	2530.639798
67	2492.211451
68	2468.441161
69	2431.575131
70	2410.575334
71	2390.737747
72	2373.66571
73	2358.00814
74	2340.864252
75	2324.162886
76	2295.316675
77	2268.2385
78	2242.306676
79	2231.86504
80	2222.175431
81	2211.72788
82	2201.972432
83	2190.194935
84	2178.838347
85	2167.045891
86	2143.321638
87	2135.337791
88	2126.957725
89	2119.667455
90	2109.7013
91	2102.219806
92	2093.637713
93	2068.845197
94	2047.218645
95	2025.317568
96	2012.341769
97	2008.263026
98	1994.445872
99	1970.798448
100	1961.617208
101	1959.337831
102	1953.778616
103	1947.946564
104	1933.8584
105	1929.211365
106	1914.439066
107	1908.724324
108	1902.255165
109	1892.769802
110	1876.121994
111	1872.361148
112	1866.672251
113	1848.747255
114	1845.838312
115	1843.895804
116	1840.33769
117	1831.186027
118	1817.305148
119	1803.091018
120	1798.825103
121	1792.427378
122	1781.807666
123	1778.724502
124	1769.29338
125	1757.358926
126	1746.814172
127	1736.197375
128	1731.972532
129	1721.578071
130	1716.885059
131	1710.488312
132	1705.573368
133	1701.676905
134	1698.719046
135	1692.598565
136	1685.214575
137	1681.975345
138	1672.956944
139	1659.831388
140	1650.402677
141	1646.391755
142	1638.521151
143	1632.788573
144	1629.842517
145	1627.820172
146	1623.267597
147	1618.812385
148	1617.010482
149	1611.26824
150	1608.352466
151	1606.039236
152	1596.374242
153	1594.019772
154	1591.611023
155	1574.670043
156	1571.605886
157	1569.332631
158	1565.177745
159	1554.880603
160	1553.384562
161	1545.60649
162	1541.195756
163	1539.550447
164	1536.484412
165	1531.858616
166	1529.823094
167	1526.375349
168	1522.410117
169	1520.900051
170	1512.612455
171	1509.853919
172	1501.771991
173	1496.245208
174	1493.897279
175	1482.681312
176	1477.605355
177	1468.688819
178	1462.660747
179	1455.18402
180	1453.187496
181	1448.014338
182	1444.069994
183	1441.117549
184	1436.251994
185	1427.642696
186	1424.15611
187	1422.892423
188	1415.64991
189	1409.816699
190	1405.326893
191	1392.270698
192	1390.675117
193	1388.16022
194	1383.660098
195	1376.876368
196	1372.962517
197	1366.326216
198	1364.099439
199	1361.66421
200	1359.360087
201	1357.323142
202	1353.190736
203	1351.843961
204	1348.759301
205	1347.025325
206	1344.13086
207	1342.933392
208	1333.888996
209	1322.625432
210	1320.343256
211	1318.619599
212	1316.264089
213	1314.258905
