iter	Passed	Remaining
413	5281	7475
414	5295	7464
415	5306	7449
416	5319	7436
417	5332	7424
418	5343	7409
419	5358	7399
420	5369	7385
421	5382	7371
422	5392	7355
423	5403	7340
424	5414	7324
425	5427	7313
426	5443	7305
427	5456	7292
428	5471	7282
429	5485	7271
430	5495	7255
431	5510	7244
432	5520	7229
433	5534	7218
434	5549	7207
435	5559	7191
436	5572	7178
437	5587	7169
438	5598	7154
439	5609	7139
440	5620	7124
441	5633	7111
442	5648	7102
443	5661	7089
444	5674	7077
445	5684	7061
446	5695	7046
447	5707	7031
448	5719	7018
449	5731	7005
450	5742	6990
451	5756	6978
452	5766	6963
453	5779	6950
454	5792	6937
455	5803	6924
456	5815	6910
457	5826	6895
458	5840	6883
459	5853	6871
460	5865	6858
461	5879	6846
462	5893	6835
463	5904	6820
464	5918	6810
465	5933	6798
466	5944	6784
467	5957	6772
468	5973	6763
469	5986	6750
470	6000	6739
471	6018	6733
472	6032	6721
473	6043	6706
474	6057	6694
475	6071	6683
476	6083	6670
477	6099	6660
478	6113	6650
479	6128	6638
480	6141	6626
481	6155	6615
482	6165	6599
483	6177	6586
484	6189	6572
485	6198	6556
486	6210	6541
487	6221	6527
488	6235	6516
489	6247	6502
490	6259	6488
491	6271	6475
492	6284	6462
493	6297	6450
494	6310	6437
495	6322	6424
496	6334	6410
497	6346	6397
498	6361	6386
499	6374	6374
500	6385	6359
501	6395	6344
502	6407	6330
503	6419	6318
504	6433	6305
505	6445	6292
506	6458	6280
507	6470	6267
508	6486	6257
509	6497	6242
510	6507	6227
511	6521	6216
512	6531	6200
513	6543	6186
514	6554	6172
515	6565	6158
516	6577	6145
517	6589	6131
518	6601	6117
519	6616	6107
520	6626	6092
521	6636	6077
522	6647	6063
523	6662	6051
524	6675	6040
525	6688	6027
526	6700	6013
527	6716	6004
528	6729	5991
529	6741	5977
530	6753	5964
531	6766	5952
532	6777	5938
533	6790	5925
534	6801	5911
535	6811	5896
536	6824	5883
537	6835	5870
538	6847	5856
539	6865	5848
540	6877	5834
541	6889	5821
542	6903	5809
543	6912	5794
