iter	RMSE
124	26038.67172
125	26007.49294
126	25976.43467
127	25935.41654
128	25907.05428
129	25868.37421
130	25832.60115
131	25793.18404
132	25749.71774
133	25699.61557
134	25662.59082
135	25623.49237
136	25581.46898
137	25542.49929
138	25507.23436
139	25468.44748
140	25427.83236
141	25384.12948
142	25340.96094
143	25292.87525
144	25244.59774
145	25209.7235
146	25165.38966
147	25126.83794
148	25087.70912
149	25050.5541
150	25015.73777
151	24981.20929
152	24950.58678
153	24908.48878
154	24870.95009
155	24848.30819
156	24803.84124
157	24754.21466
158	24714.9916
159	24682.16913
160	24645.54917
161	24628.02246
162	24602.99686
163	24545.47899
164	24504.13883
165	24470.59334
166	24444.80216
167	24405.82851
168	24366.00751
169	24331.91385
170	24309.11402
171	24276.07408
172	24234.96314
173	24200.57613
174	24168.39128
175	24138.05702
176	24106.85722
177	24074.11682
178	24031.24961
179	23977.78813
180	23936.7332
181	23900.03678
182	23863.38423
183	23839.33825
184	23822.35591
185	23803.50293
186	23768.38138
187	23742.95984
188	23712.70469
189	23685.18957
190	23664.85967
191	23636.58527
192	23607.99488
193	23575.53447
194	23551.98959
195	23519.62317
196	23489.71338
197	23450.08125
198	23414.74192
199	23380.79864
200	23349.91201
201	23316.45935
202	23292.82011
203	23260.58184
204	23230.37532
205	23209.11093
206	23180.79313
207	23157.03371
208	23126.35166
209	23095.96963
210	23053.8109
211	23013.98706
212	22994.66615
213	22961.94548
214	22937.18022
215	22917.29267
216	22885.77058
217	22854.78703
218	22836.41164
219	22794.69177
220	22761.06786
221	22745.21676
222	22730.39585
223	22708.52764
224	22680.52644
225	22651.11775
226	22618.17236
227	22593.34339
228	22563.59264
229	22536.45859
230	22510.25635
231	22486.87787
232	22459.35917
233	22435.40868
234	22417.42795
235	22397.54768
236	22377.38445
237	22350.64086
238	22320.4628
239	22293.44209
240	22276.35004
241	22255.72718
242	22227.65823
243	22195.03888
244	22170.32596
245	22139.24644
246	22107.21964
247	22078.07821
248	22053.54764
249	22013.8095
250	21988.91077
251	21969.66893
252	21928.87014
253	21892.49632
254	21861.23686
255	21839.32942
256	21817.93291
257	21786.19459
258	21758.25613
259	21737.73121
260	21703.66082
261	21683.17898
262	21662.10857
263	21634.09177
264	21609.01684
265	21589.33117
266	21564.33337
267	21554.76816
268	21545.33017
269	21531.32969
270	21512.07094
271	21489.76382
272	21461.66605
273	21437.65819
274	21419.37231
275	21403.44224
276	21382.9101
277	21353.62583
278	21331.80413
279	21301.73158
280	21264.53928
281	21254.90374
282	21227.45447
283	21201.77935
284	21166.23646
285	21147.85478
286	21123.44695
287	21101.0727
288	21071.72526
289	21051.88121
290	21028.52061
291	21004.17631
292	20981.10353
293	20955.13183
294	20929.38273
295	20915.3908
296	20893.65336
297	20874.75862
298	20857.86373
299	20843.33082
300	20816.21968
301	20798.90355
302	20776.95788
303	20758.0013
304	20723.03613
305	20704.30509
306	20672.44263
307	20648.93223
308	20621.65597
309	20583.7029
310	20562.18725
311	20524.40871
312	20511.50644
313	20482.49139
314	20455.56509
315	20433.14053
316	20406.81139
317	20387.09868
318	20366.33882
319	20346.92723
320	20317.3427
321	20289.94779
322	20259.87716
323	20239.34869
324	20225.25583
325	20210.57732
326	20194.76554
327	20168.0499
328	20141.39482
329	20129.18655
330	20105.39114
331	20085.67951
332	20065.06814
333	20041.69309
334	20028.10168
335	20006.39049
336	19981.17208
337	19950.67053
338	19937.80494
339	19917.32627
340	19895.09709
341	19881.7878
342	19861.55808
343	19829.72586
344	19807.57316
345	19782.83516
346	19769.98011
347	19737.39608
348	19712.43119
349	19693.7068
350	19675.21817
351	19655.78215
352	19636.09153
353	19616.28159
354	19592.16805
355	19571.62674
356	19544.72764
357	19520.15004
358	19505.41294
359	19486.9718
360	19455.49991
361	19431.91752
362	19399.54673
363	19384.83783
364	19366.96776
365	19344.76774
366	19327.04241
367	19314.03993
368	19295.38726
369	19275.78406
370	19249.01655
371	19234.04658
372	19217.46974
373	19194.085
374	19176.81362
375	19161.7705
376	19131.07683
377	19105.13467
378	19084.45248
379	19062.89144
380	19042.43418
381	19023.26975
382	19012.79254
383	18992.99068
384	18973.65532
385	18958.75819
386	18933.92254
387	18918.88697
388	18907.38026
389	18891.37608
390	18874.53628
391	18854.51348
392	18836.73113
393	18825.51391
394	18810.12095
395	18794.43924
396	18782.68109
397	18758.21462
398	18733.41461
399	18711.46456
400	18681.98052
401	18662.53823
